goos: windows
goarch: amd64
pkg: github.com/dvoyni/cog/bundles/ecsphysics2d/proto/queryindex
cpu: AMD Ryzen 9 7950X3D 16-Core Processor          
BenchmarkStatic/rooms16/grid1m/body/SweepAll-32      	 4460236	        53.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/lospair/Sweep-32      	 4577906	        52.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/lospair/Blocked-32    	 4866820	        49.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/lospair/SweepAll-32   	 4860345	        50.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/sight/Sweep-32        	  958772	       222.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/sight/Blocked-32      	 1268878	       189.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/sight/SweepAll-32     	  584680	       395.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/losmap/Sweep-32       	  904396	       245.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/losmap/Blocked-32     	 1000000	       211.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/losmap/SweepAll-32    	   53890	      4343 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/proj/Sweep-32         	 6042934	        39.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/proj/Blocked-32       	 6428370	        36.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/proj/SweepAll-32      	 6970360	        35.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/body/Sweep-32         	 4457875	        53.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/body/Blocked-32       	 4947718	        48.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/body/SweepAll-32      	 4611136	        52.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/lospair/Sweep-32      	 5035837	        48.00 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/lospair/Blocked-32    	 5386346	        44.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/lospair/SweepAll-32   	 4933996	        47.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/sight/Sweep-32        	 1448118	       165.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/sight/Blocked-32      	 1736616	       139.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/sight/SweepAll-32     	  885706	       268.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/losmap/Sweep-32       	 1212032	       197.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/losmap/Blocked-32     	 1492885	       163.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid2m/losmap/SweepAll-32    	   88024	      2756 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/proj/Sweep-32         	 5214862	        45.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/proj/Blocked-32       	 5813332	        40.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/proj/SweepAll-32      	 5488724	        41.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/body/Sweep-32         	 3625743	        65.53 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/body/Blocked-32       	 3977823	        60.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/body/SweepAll-32      	 3785064	        62.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/lospair/Sweep-32      	 4603698	        51.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/lospair/Blocked-32    	 5010229	        48.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/lospair/SweepAll-32   	 4740309	        48.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/sight/Sweep-32        	 1635794	       145.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/sight/Blocked-32      	 2317460	       104.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/sight/SweepAll-32     	 1272032	       188.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/losmap/Sweep-32       	 1430671	       169.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/losmap/Blocked-32     	 1759362	       135.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid4m/losmap/SweepAll-32    	  120290	      2028 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid1m/proj/Sweep-32    	 6241449	        37.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid1m/proj/Blocked-32  	 6457983	        36.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid1m/proj/SweepAll-32 	 6574693	        35.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid1m/body/Sweep-32    	 3837421	        61.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid1m/body/Blocked-32  	 4301120	        56.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid1m/body/SweepAll-32 	 3934316	        60.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid1m/lospair/Sweep-32 	 4127157	        59.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid1m/lospair/Blocked-32         	 4593864	        52.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid1m/lospair/SweepAll-32        	 4283480	        55.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid1m/sight/Sweep-32             	  984828	       248.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid1m/sight/Blocked-32           	 1000000	       206.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid1m/sight/SweepAll-32          	  545454	       425.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid1m/losmap/Sweep-32            	  852757	       268.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid1m/losmap/Blocked-32          	  985342	       228.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid1m/losmap/SweepAll-32         	   50226	      4788 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid2m/proj/Sweep-32              	 5525128	        42.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid2m/proj/Blocked-32            	 6040105	        38.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid2m/proj/SweepAll-32           	 6057745	        39.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid2m/body/Sweep-32              	 3409022	        71.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid2m/body/Blocked-32            	 3753372	        63.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid2m/body/SweepAll-32           	 3523008	        67.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid2m/lospair/Sweep-32           	 4213830	        56.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid2m/lospair/Blocked-32         	 4685156	        50.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid2m/lospair/SweepAll-32        	 4326303	        54.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid2m/sight/Sweep-32             	 1250716	       191.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid2m/sight/Blocked-32           	 1549270	       155.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid2m/sight/SweepAll-32          	  798694	       290.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid2m/losmap/Sweep-32            	 1000000	       217.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid2m/losmap/Blocked-32          	 1345606	       178.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid2m/losmap/SweepAll-32         	   81079	      2958 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid4m/proj/Sweep-32              	 3681262	        61.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid4m/proj/Blocked-32            	 4277906	        55.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid4m/proj/SweepAll-32           	 4196757	        60.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid4m/body/Sweep-32              	 2182732	       109.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid4m/body/Blocked-32            	 2508788	        96.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid4m/body/SweepAll-32           	 2274288	       106.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid4m/lospair/Sweep-32           	 3152365	        76.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid4m/lospair/Blocked-32         	 3902000	        58.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid4m/lospair/SweepAll-32        	 3780646	        62.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid4m/sight/Sweep-32             	  991039	       231.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid4m/sight/Blocked-32           	 1519605	       161.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid4m/sight/SweepAll-32          	  789836	       289.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid4m/losmap/Sweep-32            	 1000000	       223.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid4m/losmap/Blocked-32          	 1397300	       171.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16cells/grid4m/losmap/SweepAll-32         	   87754	      2741 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid1m/proj/Sweep-32                   	 7030947	        31.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid1m/proj/Blocked-32                 	 8439589	        30.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid1m/proj/SweepAll-32                	 8284345	        28.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid1m/body/Sweep-32                   	 5459308	        43.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid1m/body/Blocked-32                 	 6093736	        40.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid1m/body/SweepAll-32                	 5742573	        40.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid1m/lospair/Sweep-32                	 5713700	        42.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid1m/lospair/Blocked-32              	 6246664	        38.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid1m/lospair/SweepAll-32             	 5837952	        41.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid1m/sight/Sweep-32                  	  902048	       265.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid1m/sight/Blocked-32                	  983485	       235.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid1m/sight/SweepAll-32               	  806749	       284.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid1m/losmap/Sweep-32                 	  484261	       494.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid1m/losmap/Blocked-32               	  565210	       424.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid1m/losmap/SweepAll-32              	   86725	      2808 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid2m/proj/Sweep-32                   	 8448056	        28.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid2m/proj/Blocked-32                 	 9825554	        25.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid2m/proj/SweepAll-32                	 9123982	        28.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid2m/body/Sweep-32                   	 7463730	        32.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid2m/body/Blocked-32                 	 7737392	        31.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid2m/body/SweepAll-32                	 7279785	        33.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid2m/lospair/Sweep-32                	 7428016	        31.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid2m/lospair/Blocked-32              	 8635888	        29.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid2m/lospair/SweepAll-32             	 7695859	        31.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid2m/sight/Sweep-32                  	 1509147	       159.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid2m/sight/Blocked-32                	 1689381	       144.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid2m/sight/SweepAll-32               	 1403151	       171.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid2m/losmap/Sweep-32                 	  779347	       297.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid2m/losmap/Blocked-32               	  917570	       258.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid2m/losmap/SweepAll-32              	  156120	      1581 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid4m/proj/Sweep-32                   	 8524330	        28.84 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid4m/proj/Blocked-32                 	 8833987	        25.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid4m/proj/SweepAll-32                	 9867487	        25.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid4m/body/Sweep-32                   	 7232989	        33.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid4m/body/Blocked-32                 	 8956226	        26.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid4m/body/SweepAll-32                	 8818341	        26.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid4m/lospair/Sweep-32                	 8743072	        27.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid4m/lospair/Blocked-32              	 9479121	        26.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid4m/lospair/SweepAll-32             	 9365487	        26.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid4m/sight/Sweep-32                  	 2829060	        86.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid4m/sight/Blocked-32                	 3357930	        72.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid4m/sight/SweepAll-32               	 2632767	        93.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid4m/losmap/Sweep-32                 	  987735	       214.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid4m/losmap/Blocked-32               	 1291152	       183.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/halls64/grid4m/losmap/SweepAll-32              	  235947	       990.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid1m/proj/Sweep-32                    	 2681914	        89.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid1m/proj/Blocked-32                  	 5989622	        41.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid1m/proj/SweepAll-32                 	 2759276	        87.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid1m/body/Sweep-32                    	 1291660	       185.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid1m/body/Blocked-32                  	 5448489	        43.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid1m/body/SweepAll-32                 	 1274008	       188.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid1m/lospair/Sweep-32                 	 1319881	       181.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid1m/lospair/Blocked-32               	 4399230	        54.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid1m/lospair/SweepAll-32              	 1313593	       182.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid1m/sight/Sweep-32                   	 1495136	       161.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid1m/sight/Blocked-32                 	 2421069	        99.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid1m/sight/SweepAll-32                	  243264	       985.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid2m/proj/Sweep-32                    	 2139817	       113.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid2m/proj/Blocked-32                  	 4295655	        56.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid2m/proj/SweepAll-32                 	 2227269	       107.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid2m/body/Sweep-32                    	 1233771	       195.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid2m/body/Blocked-32                  	 4608648	        52.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid2m/body/SweepAll-32                 	 1244673	       192.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid2m/lospair/Sweep-32                 	 1299002	       184.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid2m/lospair/Blocked-32               	 3837733	        61.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid2m/lospair/SweepAll-32              	 1296134	       185.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid2m/sight/Sweep-32                   	  964320	       240.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid2m/sight/Blocked-32                 	 2614538	        93.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid2m/sight/SweepAll-32                	  299920	       797.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid4m/proj/Sweep-32                    	 1359976	       176.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid4m/proj/Blocked-32                  	 2485083	        96.96 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid4m/proj/SweepAll-32                 	 1406053	       170.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid4m/body/Sweep-32                    	  916519	       257.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid4m/body/Blocked-32                  	 3203997	        75.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid4m/body/SweepAll-32                 	  940844	       252.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid4m/lospair/Sweep-32                 	  969735	       242.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid4m/lospair/Blocked-32               	 2759127	        87.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid4m/lospair/SweepAll-32              	  945998	       239.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid4m/sight/Sweep-32                   	  502512	       479.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid4m/sight/Blocked-32                 	 2195818	       108.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/crowd256/grid4m/sight/SweepAll-32                	  327752	       722.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/arena1024/grid1m/proj/Sweep-32                   	 6193356	        36.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/arena1024/grid1m/proj/Blocked-32                 	 7760334	        30.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkBody/arena1024/grid1m/proj/SweepAll-32                	 7482135	        32.81 ns/op	       0 B/op	       0 allocs/op
