name	median	min	max	runs	allocs
BenchmarkStatic/scatter/bvh2/lospair/Sweep	212.6	212.1	273.8	3	0
BenchmarkStatic/scatter/bvh2/lospair/Blocked	228.5	227.0	285.3	3	0
BenchmarkStatic/scatter/bvh2/lospair/SweepAll	232.3	231.4	375.0	3	0
BenchmarkStatic/scatter/bvh2/sight/Sweep	355.6	353.9	439.8	3	0
BenchmarkStatic/scatter/bvh2/sight/Blocked	332.6	330.4	381.8	3	0
BenchmarkStatic/scatter/bvh2/sight/SweepAll	377.2	375.7	446.6	3	0
BenchmarkStatic/scatter/bvh2/losmap/Sweep	682.7	679.6	811.0	3	0
BenchmarkStatic/scatter/bvh2/losmap/Blocked	513.6	513.5	602.6	3	0
BenchmarkStatic/scatter/bvh2/losmap/SweepAll	2243.0	2238.0	2698.0	3	0
BenchmarkStatic/scatter/bvh4/proj/Sweep	222.4	218.8	286.1	3	0
BenchmarkStatic/scatter/bvh4/proj/Blocked	236.7	236.0	307.6	3	0
BenchmarkStatic/scatter/bvh4/proj/SweepAll	240.3	238.4	291.5	3	0
BenchmarkStatic/scatter/bvh4/body/Sweep	301.0	300.9	380.2	3	0
BenchmarkStatic/scatter/bvh4/body/Blocked	306.8	306.5	330.0	3	0
BenchmarkStatic/scatter/bvh4/body/SweepAll	321.2	317.3	330.1	3	0
BenchmarkStatic/scatter/bvh4/lospair/Sweep	256.2	247.2	258.3	3	0
BenchmarkStatic/scatter/bvh4/lospair/Blocked	266.1	256.9	268.3	3	0
BenchmarkStatic/scatter/bvh4/lospair/SweepAll	268.5	264.9	271.3	3	0
BenchmarkStatic/scatter/bvh4/sight/Sweep	435.0	418.8	493.3	3	0
BenchmarkStatic/scatter/bvh4/sight/Blocked	397.9	386.7	398.2	3	0
BenchmarkStatic/scatter/bvh4/sight/SweepAll	452.0	446.8	465.5	3	0
BenchmarkStatic/scatter/bvh4/losmap/Sweep	812.0	805.6	833.8	3	0
BenchmarkStatic/scatter/bvh4/losmap/Blocked	615.5	603.4	623.6	3	0
BenchmarkStatic/scatter/bvh4/losmap/SweepAll	2751.0	2722.0	2790.0	3	0
BenchmarkStatic/scatter/bvh8/proj/Sweep	295.3	292.3	305.4	3	0
BenchmarkStatic/scatter/bvh8/proj/Blocked	302.5	298.6	308.5	3	0
BenchmarkStatic/scatter/bvh8/proj/SweepAll	306.1	303.8	318.4	3	0
BenchmarkStatic/scatter/bvh8/body/Sweep	462.4	462.2	481.0	3	0
BenchmarkStatic/scatter/bvh8/body/Blocked	461.3	457.0	472.6	3	0
BenchmarkStatic/scatter/bvh8/body/SweepAll	473.1	472.6	491.9	3	0
BenchmarkStatic/scatter/bvh8/lospair/Sweep	324.4	323.5	333.3	3	0
BenchmarkStatic/scatter/bvh8/lospair/Blocked	326.5	326.0	336.7	3	0
BenchmarkStatic/scatter/bvh8/lospair/SweepAll	335.5	335.2	348.6	3	0
BenchmarkStatic/scatter/bvh8/sight/Sweep	544.9	543.8	565.7	3	0
BenchmarkStatic/scatter/bvh8/sight/Blocked	490.3	489.0	502.0	3	0
BenchmarkStatic/scatter/bvh8/sight/SweepAll	574.5	573.5	587.7	3	0
BenchmarkStatic/scatter/bvh8/losmap/Sweep	1007.0	1003.0	1045.0	3	0
BenchmarkStatic/scatter/bvh8/losmap/Blocked	752.3	749.5	777.2	3	0
BenchmarkStatic/scatter/bvh8/losmap/SweepAll	3454.0	3444.0	3541.0	3	0
BenchmarkStatic/rooms16/linear/proj/Sweep	32668.0	32508.0	33541.0	3	0
BenchmarkStatic/rooms16/linear/proj/Blocked	32976.0	32482.0	33570.0	3	0
BenchmarkStatic/rooms16/linear/proj/SweepAll	30772.0	30707.0	31974.0	3	0
BenchmarkStatic/rooms16/linear/losmap/Sweep	34428.0	34248.0	35818.0	3	0
BenchmarkStatic/rooms16/linear/losmap/Blocked	34506.0	34254.0	35324.0	3	0
BenchmarkStatic/rooms16/linear/losmap/SweepAll	32963.0	32471.0	33587.0	3	0
BenchmarkStatic/rooms16/grid1m/proj/Sweep	35.6	34.9	37.6	3	0
BenchmarkStatic/rooms16/grid1m/proj/Blocked	32.5	32.0	34.9	3	0
BenchmarkStatic/rooms16/grid1m/proj/SweepAll	32.3	31.5	35.1	3	0
BenchmarkStatic/rooms16/grid1m/body/Sweep	53.5	50.7	55.3	3	0
BenchmarkStatic/rooms16/grid1m/body/Blocked	49.1	46.2	50.1	3	0
BenchmarkStatic/rooms16/grid1m/body/SweepAll	50.4	48.4	53.3	3	0
BenchmarkStatic/rooms16/grid1m/lospair/Sweep	50.6	49.3	52.2	3	0
BenchmarkStatic/rooms16/grid1m/lospair/Blocked	46.9	45.1	49.2	3	0
BenchmarkStatic/rooms16/grid1m/lospair/SweepAll	49.1	46.8	51.3	3	0
BenchmarkStatic/rooms16/grid1m/sight/Sweep	223.8	213.6	224.4	3	0
BenchmarkStatic/rooms16/grid1m/sight/Blocked	190.9	186.2	192.2	3	0
BenchmarkStatic/rooms16/grid1m/sight/SweepAll	367.6	355.0	400.3	3	0
BenchmarkStatic/rooms16/grid1m/losmap/Sweep	243.5	238.9	246.2	3	0
BenchmarkStatic/rooms16/grid1m/losmap/Blocked	207.7	202.2	211.6	3	0
BenchmarkStatic/rooms16/grid1m/losmap/SweepAll	4057.0	3826.0	4610.0	3	0
BenchmarkStatic/rooms16/grid2m/proj/Sweep	35.2	32.6	38.2	3	0
BenchmarkStatic/rooms16/grid2m/proj/Blocked	32.9	30.5	34.4	3	0
BenchmarkStatic/rooms16/grid2m/proj/SweepAll	31.9	30.8	33.9	3	0
BenchmarkStatic/rooms16/grid2m/body/Sweep	47.5	47.4	53.4	3	0
BenchmarkStatic/rooms16/grid2m/body/Blocked	46.1	42.9	47.1	3	0
BenchmarkStatic/rooms16/grid2m/body/SweepAll	48.3	47.9	50.2	3	0
BenchmarkStatic/rooms16/grid2m/lospair/Sweep	45.0	44.7	45.9	3	0
BenchmarkStatic/rooms16/grid2m/lospair/Blocked	40.8	39.5	42.7	3	0
BenchmarkStatic/rooms16/grid2m/lospair/SweepAll	43.5	40.5	44.5	3	0
BenchmarkStatic/rooms16/grid2m/sight/Sweep	160.3	158.3	164.0	3	0
BenchmarkStatic/rooms16/grid2m/sight/Blocked	134.7	132.0	136.9	3	0
BenchmarkStatic/rooms16/grid2m/sight/SweepAll	256.6	250.4	263.3	3	0
BenchmarkStatic/rooms16/grid2m/losmap/Sweep	188.4	187.9	198.1	3	0
BenchmarkStatic/rooms16/grid2m/losmap/Blocked	161.1	157.3	187.4	3	0
BenchmarkStatic/rooms16/grid2m/losmap/SweepAll	2718.0	2636.0	2720.0	3	0
BenchmarkStatic/rooms16/grid4m/proj/Sweep	42.0	41.2	43.9	3	0
BenchmarkStatic/rooms16/grid4m/proj/Blocked	40.1	39.7	41.7	3	0
BenchmarkStatic/rooms16/grid4m/proj/SweepAll	40.0	39.8	41.6	3	0
BenchmarkStatic/rooms16/grid4m/body/Sweep	65.6	64.2	66.6	3	0
BenchmarkStatic/rooms16/grid4m/body/Blocked	59.3	59.1	64.8	3	0
BenchmarkStatic/rooms16/grid4m/body/SweepAll	62.6	60.4	64.5	3	0
BenchmarkStatic/rooms16/grid4m/lospair/Sweep	51.0	49.0	51.1	3	0
BenchmarkStatic/rooms16/grid4m/lospair/Blocked	46.5	46.2	48.8	3	0
BenchmarkStatic/rooms16/grid4m/lospair/SweepAll	46.6	45.1	48.0	3	0
BenchmarkStatic/rooms16/grid4m/sight/Sweep	145.5	141.8	149.5	3	0
BenchmarkStatic/rooms16/grid4m/sight/Blocked	102.0	100.8	105.0	3	0
BenchmarkStatic/rooms16/grid4m/sight/SweepAll	188.3	185.9	190.4	3	0
BenchmarkStatic/rooms16/grid4m/losmap/Sweep	167.2	164.3	172.0	3	0
BenchmarkStatic/rooms16/grid4m/losmap/Blocked	130.8	130.2	135.8	3	0
BenchmarkStatic/rooms16/grid4m/losmap/SweepAll	1978.0	1977.0	2042.0	3	0
BenchmarkStatic/rooms16/grid8m/proj/Sweep	59.0	53.4	65.3	3	0
BenchmarkStatic/rooms16/grid8m/proj/Blocked	58.2	49.1	58.9	3	0
BenchmarkStatic/rooms16/grid8m/proj/SweepAll	58.2	53.1	61.7	3	0
BenchmarkStatic/rooms16/grid8m/body/Sweep	103.8	98.2	106.1	3	0
BenchmarkStatic/rooms16/grid8m/body/Blocked	95.3	95.1	97.6	3	0
BenchmarkStatic/rooms16/grid8m/body/SweepAll	100.1	97.8	102.2	3	0
BenchmarkStatic/rooms16/grid8m/lospair/Sweep	69.6	64.8	72.2	3	0
BenchmarkStatic/rooms16/grid8m/lospair/Blocked	60.4	53.9	67.0	3	0
BenchmarkStatic/rooms16/grid8m/lospair/SweepAll	66.8	66.2	68.2	3	0
BenchmarkStatic/rooms16/grid8m/sight/Sweep	184.3	182.7	187.3	3	0
BenchmarkStatic/rooms16/grid8m/sight/Blocked	116.2	112.0	117.0	3	0
BenchmarkStatic/rooms16/grid8m/sight/SweepAll	182.0	179.4	187.9	3	0
BenchmarkStatic/rooms16/grid8m/losmap/Sweep	182.3	179.7	183.2	3	0
BenchmarkStatic/rooms16/grid8m/losmap/Blocked	130.1	129.9	133.1	3	0
BenchmarkStatic/rooms16/grid8m/losmap/SweepAll	1830.0	1830.0	1870.0	3	0
BenchmarkStatic/rooms16/bvh2/proj/Sweep	212.3	211.8	224.1	3	0
BenchmarkStatic/rooms16/bvh2/proj/Blocked	224.2	223.6	229.9	3	0
BenchmarkStatic/rooms16/bvh2/proj/SweepAll	230.5	230.2	234.1	3	0
BenchmarkStatic/rooms16/bvh2/body/Sweep	251.3	250.6	261.4	3	0
BenchmarkStatic/rooms16/bvh2/body/Blocked	248.6	245.2	254.6	3	0
BenchmarkStatic/rooms16/bvh2/body/SweepAll	270.9	267.1	273.8	3	0
BenchmarkStatic/rooms16/bvh2/lospair/Sweep	235.4	234.0	240.6	3	0
BenchmarkStatic/rooms16/bvh2/lospair/Blocked	234.5	230.9	238.2	3	0
BenchmarkStatic/rooms16/bvh2/lospair/SweepAll	249.6	248.2	256.9	3	0
BenchmarkStatic/rooms16/bvh2/sight/Sweep	359.3	356.7	373.3	3	0
BenchmarkStatic/rooms16/bvh2/sight/Blocked	270.6	270.2	280.1	3	0
BenchmarkStatic/rooms16/bvh2/sight/SweepAll	417.9	417.8	426.3	3	0
BenchmarkStatic/rooms16/bvh2/losmap/Sweep	417.5	413.8	430.2	3	0
BenchmarkStatic/rooms16/bvh2/losmap/Blocked	262.1	259.2	274.5	3	0
BenchmarkStatic/rooms16/bvh2/losmap/SweepAll	2816.0	2796.0	2904.0	3	0
BenchmarkStatic/rooms16/bvh4/proj/Sweep	261.0	251.6	280.6	3	0
BenchmarkStatic/rooms16/bvh4/proj/Blocked	261.0	256.8	264.5	3	0
BenchmarkStatic/rooms16/bvh4/proj/SweepAll	271.0	264.5	272.5	3	0
BenchmarkStatic/rooms16/bvh4/body/Sweep	379.6	373.4	423.8	3	0
BenchmarkStatic/rooms16/bvh4/body/Blocked	354.8	348.3	355.1	3	0
BenchmarkStatic/rooms16/bvh4/body/SweepAll	390.2	383.3	394.8	3	0
BenchmarkStatic/rooms16/bvh4/lospair/Sweep	280.5	277.5	288.7	3	0
BenchmarkStatic/rooms16/bvh4/lospair/Blocked	275.2	266.1	275.5	3	0
BenchmarkStatic/rooms16/bvh4/lospair/SweepAll	293.8	292.3	299.0	3	0
BenchmarkStatic/rooms16/bvh4/sight/Sweep	442.4	434.2	448.9	3	0
BenchmarkStatic/rooms16/bvh4/sight/Blocked	316.3	307.0	319.4	3	0
BenchmarkStatic/rooms16/bvh4/sight/SweepAll	515.7	503.1	527.3	3	0
BenchmarkStatic/rooms16/bvh4/losmap/Sweep	511.4	502.5	518.5	3	0
BenchmarkStatic/rooms16/bvh4/losmap/Blocked	302.5	296.2	307.9	3	0
BenchmarkStatic/rooms16/bvh4/losmap/SweepAll	3448.0	3374.0	3543.0	3	0
BenchmarkStatic/rooms16/bvh8/proj/Sweep	320.7	310.6	325.1	3	0
BenchmarkStatic/rooms16/bvh8/proj/Blocked	318.9	308.1	324.3	3	0
BenchmarkStatic/rooms16/bvh8/proj/SweepAll	333.7	323.7	337.8	3	0
BenchmarkStatic/rooms16/bvh8/body/Sweep	545.1	528.0	557.3	3	0
BenchmarkStatic/rooms16/bvh8/body/Blocked	501.6	486.2	513.1	3	0
BenchmarkStatic/rooms16/bvh8/body/SweepAll	552.0	540.5	564.9	3	0
BenchmarkStatic/rooms16/bvh8/lospair/Sweep	358.6	345.8	364.4	3	0
BenchmarkStatic/rooms16/bvh8/lospair/Blocked	327.0	320.3	332.0	3	0
BenchmarkStatic/rooms16/bvh8/lospair/SweepAll	366.3	355.1	369.3	3	0
BenchmarkStatic/rooms16/bvh8/sight/Sweep	547.5	531.5	550.0	3	0
BenchmarkStatic/rooms16/bvh8/sight/Blocked	363.8	356.3	374.8	3	0
BenchmarkStatic/rooms16/bvh8/sight/SweepAll	638.0	611.7	651.5	3	0
BenchmarkStatic/rooms16/bvh8/losmap/Sweep	627.8	599.1	647.2	3	0
BenchmarkStatic/rooms16/bvh8/losmap/Blocked	345.3	338.9	349.5	3	0
BenchmarkStatic/rooms16/bvh8/losmap/SweepAll	4020.0	3936.0	4055.0	3	0
BenchmarkStatic/rooms16cells/linear/proj/Sweep	134411.0	130841.0	136200.0	3	0
BenchmarkStatic/rooms16cells/linear/proj/Blocked	134292.0	129844.0	136646.0	3	0
BenchmarkStatic/rooms16cells/linear/proj/SweepAll	127524.0	122769.0	127646.0	3	0
BenchmarkStatic/rooms16cells/linear/losmap/Sweep	135143.0	133005.0	135479.0	3	0
BenchmarkStatic/rooms16cells/linear/losmap/Blocked	134872.0	133572.0	136392.0	3	0
BenchmarkStatic/rooms16cells/linear/losmap/SweepAll	128532.0	126286.0	129272.0	3	0
BenchmarkStatic/rooms16cells/grid1m/proj/Sweep	37.5	37.4	37.6	3	0
BenchmarkStatic/rooms16cells/grid1m/proj/Blocked	34.3	34.2	34.9	3	0
BenchmarkStatic/rooms16cells/grid1m/proj/SweepAll	35.5	34.2	36.7	3	0
BenchmarkStatic/rooms16cells/grid1m/body/Sweep	61.3	57.1	65.0	3	0
