goos: windows
goarch: amd64
pkg: github.com/dvoyni/cog/bundles/ecsphysics2d/proto/queryindex
cpu: AMD Ryzen 9 7950X3D 16-Core Processor          
BenchmarkStatic/scatter/grid8m/proj/Sweep-32         	 4955360	        51.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/proj/Blocked-32       	 4417318	        48.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/proj/SweepAll-32      	 5288055	        52.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/body/Sweep-32         	 2221203	       107.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/body/Blocked-32       	 2461461	        98.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/body/SweepAll-32      	 2351845	       103.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/lospair/Sweep-32      	 3457978	        65.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/lospair/Blocked-32    	 3715796	        64.20 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/lospair/SweepAll-32   	 3369740	        70.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/sight/Sweep-32        	  919257	       247.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/sight/Blocked-32      	 1230633	       195.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/sight/SweepAll-32     	  986233	       236.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/losmap/Sweep-32       	  515010	       463.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/losmap/Blocked-32     	  606519	       392.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/losmap/SweepAll-32    	  117967	      2003 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/proj/Sweep-32           	 1267390	       189.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/proj/Blocked-32         	 1000000	       209.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/proj/SweepAll-32        	 1000000	       212.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/body/Sweep-32           	 1000000	       223.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/body/Blocked-32         	  990670	       235.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/body/SweepAll-32        	  917185	       245.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/lospair/Sweep-32        	 1000000	       212.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/lospair/Blocked-32      	 1000000	       227.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/lospair/SweepAll-32     	 1000000	       231.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/sight/Sweep-32          	  657570	       353.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/sight/Blocked-32        	  694684	       330.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/sight/SweepAll-32       	  602137	       377.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/losmap/Sweep-32         	  355149	       679.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/losmap/Blocked-32       	  462739	       513.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/losmap/SweepAll-32      	  104504	      2243 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh4/proj/Sweep-32           	 1000000	       222.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh4/proj/Blocked-32         	  993870	       236.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh4/proj/SweepAll-32        	  961692	       238.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh4/body/Sweep-32           	  730948	       301.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh4/body/Blocked-32         	  775819	       306.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh4/body/SweepAll-32        	  623716	       321.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh4/lospair/Sweep-32        	  923538	       256.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh4/lospair/Blocked-32      	  903307	       266.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh4/lospair/SweepAll-32     	  894820	       268.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh4/sight/Sweep-32          	  468657	       493.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh4/sight/Blocked-32        	  598652	       398.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh4/sight/SweepAll-32       	  530785	       452.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh4/losmap/Sweep-32         	  297224	       812.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh4/losmap/Blocked-32       	  392913	       615.5 ns/op	       0 B/op	       0 allocs/op
