goos: windows
goarch: amd64
pkg: github.com/dvoyni/cog/bundles/ecsphysics2d/proto/queryindex
cpu: AMD Ryzen 9 7950X3D 16-Core Processor          
BenchmarkStatic/scatter/hash1m/proj/Sweep-32         	 7379914	        32.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/proj/Blocked-32       	 7871768	        30.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/proj/SweepAll-32      	 7595368	        31.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/body/Sweep-32         	 4271708	        55.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/body/Blocked-32       	 4748244	        49.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/body/SweepAll-32      	 4545358	        51.74 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/lospair/Sweep-32      	 4310460	        53.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/lospair/Blocked-32    	 4259850	        54.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/lospair/SweepAll-32   	 4488741	        54.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/sight/Sweep-32        	  630267	       375.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/sight/Blocked-32      	  647842	       354.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/sight/SweepAll-32     	  565503	       426.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/losmap/Sweep-32       	  245388	       999.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/losmap/Blocked-32     	  256587	       953.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/losmap/SweepAll-32    	   49066	      4930 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/proj/Sweep-32         	 7269554	        32.02 ns/op	       0 B/op	       0 allocs/op
