goos: windows
goarch: amd64
pkg: github.com/dvoyni/cog/bundles/ecsphysics2d/proto/queryindex
cpu: AMD Ryzen 9 7950X3D 16-Core Processor          
BenchmarkStatic/scatter/linear/proj/Sweep-32         	    3014	     80537 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/linear/proj/Blocked-32       	    3132	     80037 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/linear/proj/SweepAll-32      	    3139	     76022 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/linear/losmap/Sweep-32       	    2316	    103565 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/linear/losmap/Blocked-32     	    2316	    105526 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/linear/losmap/SweepAll-32    	    2332	    100936 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/proj/Sweep-32         	 7412943	        31.97 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/proj/Blocked-32       	 7701958	        31.30 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/proj/SweepAll-32      	 7804953	        29.92 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/Sweep-32         	 4806603	        48.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/Blocked-32       	 5339491	        44.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/SweepAll-32      	 5113377	        45.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/Sweep-32      	 5039739	        54.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/Blocked-32    	 4248674	        55.66 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/SweepAll-32   	 4284818	        53.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/Sweep-32        	  536720	       394.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/Blocked-32      	  724418	       340.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/SweepAll-32     	  536048	       415.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/Sweep-32       	  277462	       950.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/Blocked-32     	  316179	       857.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/SweepAll-32    	   60024	      4074 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/proj/Sweep-32         	 7054071	        34.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/proj/Blocked-32       	 6941390	        33.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/proj/SweepAll-32      	 7308471	        34.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/body/Sweep-32         	 5037274	        45.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/body/Blocked-32       	 6349978	        40.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/body/SweepAll-32      	 3967177	        52.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/lospair/Sweep-32      	 6089438	        40.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/lospair/Blocked-32    	 6453399	        36.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/lospair/SweepAll-32   	 6326160	        36.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/sight/Sweep-32        	 1000000	       203.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/sight/Blocked-32      	 1358517	       183.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/sight/SweepAll-32     	  838456	       261.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/losmap/Sweep-32       	  358626	       630.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/losmap/Blocked-32     	  406930	       574.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/losmap/SweepAll-32    	   77709	      3016 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/proj/Sweep-32         	 6064051	        42.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/proj/Blocked-32       	 6157144	        39.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/proj/SweepAll-32      	 5729248	        41.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/body/Sweep-32         	 3822123	        62.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/body/Blocked-32       	 3842643	        58.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/body/SweepAll-32      	 3742502	        63.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/lospair/Sweep-32      	 4630710	        53.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/lospair/Blocked-32    	 4819412	        50.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/lospair/SweepAll-32   	 4417700	        48.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/sight/Sweep-32        	 1203901	       199.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/sight/Blocked-32      	 1410298	       166.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/sight/SweepAll-32     	 1201660	       199.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/losmap/Sweep-32       	  544562	       484.2 ns/op	       0 B/op	       0 allocs/op
