goos: windows
goarch: amd64
pkg: github.com/dvoyni/cog/bundles/ecsphysics2d/proto/queryindex
cpu: AMD Ryzen 9 7950X3D 16-Core Processor          
BenchmarkStatic/scatter/grid1m/proj/Sweep-32         	 7585718	        29.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/proj/Blocked-32       	 7863154	        27.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/proj/SweepAll-32      	 8759028	        29.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/Sweep-32         	 5172246	        46.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/Blocked-32       	 6192637	        40.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/SweepAll-32      	 5729646	        41.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/Sweep-32      	 5815080	        44.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/Blocked-32    	 6137792	        39.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/SweepAll-32   	 5956886	        41.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/Sweep-32        	  680947	       323.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/Blocked-32      	  778486	       273.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/SweepAll-32     	  624868	       340.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/Sweep-32       	  263408	       861.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/Blocked-32     	  335325	       775.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/SweepAll-32    	   57712	      4065 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/proj/Sweep-32         	 7740362	        30.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/proj/Blocked-32       	 8491216	        28.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/proj/SweepAll-32      	 8036539	        28.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/body/Sweep-32         	 5621661	        41.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/body/Blocked-32       	 6843631	        35.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/body/SweepAll-32      	 6619282	        36.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/lospair/Sweep-32      	 6449704	        37.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/lospair/Blocked-32    	 6673080	        34.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/lospair/SweepAll-32   	 7077871	        34.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/sight/Sweep-32        	 1254168	       191.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/sight/Blocked-32      	 1400798	       171.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/sight/SweepAll-32     	 1000000	       207.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/losmap/Sweep-32       	  524428	       463.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/losmap/Blocked-32     	  581817	       412.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/losmap/SweepAll-32    	  119548	      2033 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/proj/Sweep-32         	 6805093	        35.35 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/proj/Blocked-32       	 7226302	        32.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/proj/SweepAll-32      	 6780004	        34.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/body/Sweep-32         	 4686758	        52.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/body/Blocked-32       	 4899798	        49.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/body/SweepAll-32      	 5811446	        45.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/lospair/Sweep-32      	 5745860	        39.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/lospair/Blocked-32    	 6229768	        37.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/lospair/SweepAll-32   	 5850632	        40.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/sight/Sweep-32        	 1403126	       171.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/sight/Blocked-32      	 1654602	       144.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/sight/SweepAll-32     	 1340330	       178.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/losmap/Sweep-32       	  582226	       408.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/losmap/Blocked-32     	  668355	       356.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/losmap/SweepAll-32    	  131497	      1813 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/proj/Sweep-32         	 6422916	        35.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/proj/Blocked-32       	 7322364	        32.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/proj/SweepAll-32      	 7705891	        31.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/body/Sweep-32         	 5055643	        47.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/body/Blocked-32       	 5479639	        44.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/body/SweepAll-32      	 4989345	        47.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/lospair/Sweep-32      	 5185152	        47.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/lospair/Blocked-32    	 5080386	        45.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/lospair/SweepAll-32   	 4918446	        48.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/sight/Sweep-32        	  942062	       218.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/sight/Blocked-32      	 1278744	       187.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/sight/SweepAll-32     	  580003	       388.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/rooms16/grid1m/losmap/Sweep-32       	  893455	       244.2 ns/op	       0 B/op	       0 allocs/op
