name	median	min	max	runs	allocs
BenchmarkStatic/rooms16/grid2m/losmap/Sweep	194.3	187.7	197.7	3	0
BenchmarkStatic/rooms16/grid2m/losmap/Blocked	162.1	155.0	163.3	3	0
BenchmarkStatic/rooms16/grid2m/losmap/SweepAll	2731.0	2622.0	2756.0	3	0
BenchmarkStatic/rooms16/grid4m/proj/Sweep	45.3	39.8	46.1	3	0
BenchmarkStatic/rooms16/grid4m/proj/Blocked	41.0	40.9	42.4	3	0
BenchmarkStatic/rooms16/grid4m/proj/SweepAll	42.1	41.3	42.3	3	0
BenchmarkStatic/rooms16/grid4m/body/Sweep	65.5	62.1	68.3	3	0
BenchmarkStatic/rooms16/grid4m/body/Blocked	60.3	52.1	62.6	3	0
BenchmarkStatic/rooms16/grid4m/body/SweepAll	62.9	59.5	65.8	3	0
BenchmarkStatic/rooms16/grid4m/lospair/Sweep	51.1	49.8	53.3	3	0
BenchmarkStatic/rooms16/grid4m/lospair/Blocked	48.8	42.2	50.3	3	0
BenchmarkStatic/rooms16/grid4m/lospair/SweepAll	48.1	45.0	48.5	3	0
BenchmarkStatic/rooms16/grid4m/sight/Sweep	145.3	142.3	148.2	3	0
BenchmarkStatic/rooms16/grid4m/sight/Blocked	104.2	103.5	106.7	3	0
BenchmarkStatic/rooms16/grid4m/sight/SweepAll	188.9	188.7	191.4	3	0
BenchmarkStatic/rooms16/grid4m/losmap/Sweep	169.0	166.3	171.8	3	0
BenchmarkStatic/rooms16/grid4m/losmap/Blocked	135.1	131.3	135.4	3	0
BenchmarkStatic/rooms16/grid4m/losmap/SweepAll	2028.0	1976.0	2033.0	3	0
BenchmarkStatic/rooms16cells/grid1m/proj/Sweep	37.6	37.2	38.0	3	0
BenchmarkStatic/rooms16cells/grid1m/proj/Blocked	35.5	33.7	36.5	3	0
BenchmarkStatic/rooms16cells/grid1m/proj/SweepAll	35.3	34.2	35.7	3	0
BenchmarkStatic/rooms16cells/grid1m/body/Sweep	61.9	61.5	63.5	3	0
BenchmarkStatic/rooms16cells/grid1m/body/Blocked	55.9	54.0	56.3	3	0
BenchmarkStatic/rooms16cells/grid1m/body/SweepAll	60.3	59.4	60.7	3	0
BenchmarkStatic/rooms16cells/grid1m/lospair/Sweep	57.8	56.3	59.2	3	0
BenchmarkStatic/rooms16cells/grid1m/lospair/Blocked	52.3	49.7	52.4	3	0
BenchmarkStatic/rooms16cells/grid1m/lospair/SweepAll	55.0	51.9	56.4	3	0
BenchmarkStatic/rooms16cells/grid1m/sight/Sweep	243.6	230.4	248.0	3	0
BenchmarkStatic/rooms16cells/grid1m/sight/Blocked	204.0	199.5	206.9	3	0
BenchmarkStatic/rooms16cells/grid1m/sight/SweepAll	414.0	388.2	425.9	3	0
BenchmarkStatic/rooms16cells/grid1m/losmap/Sweep	264.8	256.1	268.5	3	0
BenchmarkStatic/rooms16cells/grid1m/losmap/Blocked	228.0	221.0	228.8	3	0
BenchmarkStatic/rooms16cells/grid1m/losmap/SweepAll	4518.0	4251.0	4788.0	3	0
BenchmarkStatic/rooms16cells/grid2m/proj/Sweep	41.8	40.9	42.3	3	0
BenchmarkStatic/rooms16cells/grid2m/proj/Blocked	38.4	37.1	39.2	3	0
BenchmarkStatic/rooms16cells/grid2m/proj/SweepAll	39.7	34.8	40.9	3	0
BenchmarkStatic/rooms16cells/grid2m/body/Sweep	68.4	62.6	71.3	3	0
BenchmarkStatic/rooms16cells/grid2m/body/Blocked	60.4	56.2	63.0	3	0
BenchmarkStatic/rooms16cells/grid2m/body/SweepAll	66.8	65.4	68.0	3	0
BenchmarkStatic/rooms16cells/grid2m/lospair/Sweep	56.1	55.8	57.0	3	0
BenchmarkStatic/rooms16cells/grid2m/lospair/Blocked	49.1	47.0	50.5	3	0
BenchmarkStatic/rooms16cells/grid2m/lospair/SweepAll	54.1	53.0	54.3	3	0
BenchmarkStatic/rooms16cells/grid2m/sight/Sweep	191.8	191.1	194.3	3	0
BenchmarkStatic/rooms16cells/grid2m/sight/Blocked	155.3	155.1	155.6	3	0
BenchmarkStatic/rooms16cells/grid2m/sight/SweepAll	293.9	290.4	303.7	3	0
BenchmarkStatic/rooms16cells/grid2m/losmap/Sweep	215.2	214.8	217.1	3	0
BenchmarkStatic/rooms16cells/grid2m/losmap/Blocked	178.9	178.1	181.5	3	0
BenchmarkStatic/rooms16cells/grid2m/losmap/SweepAll	2990.0	2958.0	3043.0	3	0
BenchmarkStatic/rooms16cells/grid4m/proj/Sweep	59.4	59.0	61.4	3	0
BenchmarkStatic/rooms16cells/grid4m/proj/Blocked	55.1	54.6	55.9	3	0
BenchmarkStatic/rooms16cells/grid4m/proj/SweepAll	55.6	55.1	60.1	3	0
BenchmarkStatic/rooms16cells/grid4m/body/Sweep	107.2	103.8	109.8	3	0
BenchmarkStatic/rooms16cells/grid4m/body/Blocked	95.9	91.6	96.2	3	0
BenchmarkStatic/rooms16cells/grid4m/body/SweepAll	105.8	102.6	106.0	3	0
BenchmarkStatic/rooms16cells/grid4m/lospair/Sweep	75.3	75.3	76.9	3	0
BenchmarkStatic/rooms16cells/grid4m/lospair/Blocked	66.4	59.0	69.0	3	0
BenchmarkStatic/rooms16cells/grid4m/lospair/SweepAll	65.9	62.9	72.0	3	0
BenchmarkStatic/rooms16cells/grid4m/sight/Sweep	231.0	225.5	231.9	3	0
BenchmarkStatic/rooms16cells/grid4m/sight/Blocked	155.4	153.1	161.4	3	0
BenchmarkStatic/rooms16cells/grid4m/sight/SweepAll	279.0	273.6	289.6	3	0
BenchmarkStatic/rooms16cells/grid4m/losmap/Sweep	219.6	214.7	223.8	3	0
BenchmarkStatic/rooms16cells/grid4m/losmap/Blocked	171.5	166.4	171.9	3	0
BenchmarkStatic/rooms16cells/grid4m/losmap/SweepAll	2741.0	2680.0	2775.0	3	0
BenchmarkStatic/halls64/grid1m/proj/Sweep	30.6	27.8	31.1	3	0
BenchmarkStatic/halls64/grid1m/proj/Blocked	28.5	27.9	30.2	3	0
BenchmarkStatic/halls64/grid1m/proj/SweepAll	28.9	26.5	29.1	3	0
BenchmarkStatic/halls64/grid1m/body/Sweep	42.6	41.9	43.3	3	0
BenchmarkStatic/halls64/grid1m/body/Blocked	39.4	38.6	40.3	3	0
BenchmarkStatic/halls64/grid1m/body/SweepAll	40.0	39.8	41.3	3	0
BenchmarkStatic/halls64/grid1m/lospair/Sweep	41.9	41.0	42.0	3	0
BenchmarkStatic/halls64/grid1m/lospair/Blocked	38.8	38.6	39.7	3	0
BenchmarkStatic/halls64/grid1m/lospair/SweepAll	39.8	38.9	41.1	3	0
BenchmarkStatic/halls64/grid1m/sight/Sweep	268.0	265.1	285.4	3	0
BenchmarkStatic/halls64/grid1m/sight/Blocked	236.2	235.4	247.7	3	0
BenchmarkStatic/halls64/grid1m/sight/SweepAll	288.3	284.9	308.8	3	0
BenchmarkStatic/halls64/grid1m/losmap/Sweep	494.5	482.5	563.0	3	0
BenchmarkStatic/halls64/grid1m/losmap/Blocked	424.9	420.6	493.3	3	0
BenchmarkStatic/halls64/grid1m/losmap/SweepAll	2808.0	2780.0	3572.0	3	0
BenchmarkStatic/halls64/grid2m/proj/Sweep	28.4	26.5	29.0	3	0
BenchmarkStatic/halls64/grid2m/proj/Blocked	25.1	23.0	25.7	3	0
BenchmarkStatic/halls64/grid2m/proj/SweepAll	26.8	25.4	28.9	3	0
BenchmarkStatic/halls64/grid2m/body/Sweep	32.5	32.0	33.3	3	0
BenchmarkStatic/halls64/grid2m/body/Blocked	31.4	30.5	31.7	3	0
BenchmarkStatic/halls64/grid2m/body/SweepAll	33.1	32.3	33.4	3	0
BenchmarkStatic/halls64/grid2m/lospair/Sweep	31.7	31.5	32.0	3	0
BenchmarkStatic/halls64/grid2m/lospair/Blocked	29.7	29.4	30.7	3	0
BenchmarkStatic/halls64/grid2m/lospair/SweepAll	30.9	30.5	32.0	3	0
BenchmarkStatic/halls64/grid2m/sight/Sweep	159.5	156.2	160.6	3	0
BenchmarkStatic/halls64/grid2m/sight/Blocked	140.4	138.3	144.0	3	0
BenchmarkStatic/halls64/grid2m/sight/SweepAll	171.2	168.4	171.6	3	0
BenchmarkStatic/halls64/grid2m/losmap/Sweep	297.7	294.0	308.4	3	0
BenchmarkStatic/halls64/grid2m/losmap/Blocked	258.3	250.6	259.2	3	0
BenchmarkStatic/halls64/grid2m/losmap/SweepAll	1573.0	1537.0	1581.0	3	0
BenchmarkStatic/halls64/grid4m/proj/Sweep	28.8	26.7	29.2	3	0
BenchmarkStatic/halls64/grid4m/proj/Blocked	25.7	24.8	27.2	3	0
BenchmarkStatic/halls64/grid4m/proj/SweepAll	25.1	24.4	26.4	3	0
BenchmarkStatic/halls64/grid4m/body/Sweep	33.4	31.4	33.4	3	0
BenchmarkStatic/halls64/grid4m/body/Blocked	28.9	26.6	31.0	3	0
BenchmarkStatic/halls64/grid4m/body/SweepAll	27.5	26.9	32.2	3	0
BenchmarkStatic/halls64/grid4m/lospair/Sweep	27.6	27.6	32.1	3	0
BenchmarkStatic/halls64/grid4m/lospair/Blocked	27.2	26.2	30.3	3	0
BenchmarkStatic/halls64/grid4m/lospair/SweepAll	29.0	26.2	30.3	3	0
BenchmarkStatic/halls64/grid4m/sight/Sweep	86.8	85.6	88.3	3	0
BenchmarkStatic/halls64/grid4m/sight/Blocked	73.2	72.9	78.6	3	0
BenchmarkStatic/halls64/grid4m/sight/SweepAll	93.5	88.6	94.6	3	0
BenchmarkStatic/halls64/grid4m/losmap/Sweep	204.1	201.2	214.0	3	0
BenchmarkStatic/halls64/grid4m/losmap/Blocked	173.5	169.1	183.6	3	0
BenchmarkStatic/halls64/grid4m/losmap/SweepAll	990.3	971.0	1018.0	3	0
BenchmarkBody/crowd256/grid1m/proj/Sweep	89.2	87.0	91.3	3	0
BenchmarkBody/crowd256/grid1m/proj/Blocked	41.8	37.8	45.7	3	0
BenchmarkBody/crowd256/grid1m/proj/SweepAll	87.9	85.5	89.6	3	0
BenchmarkBody/crowd256/grid1m/body/Sweep	185.5	183.6	187.7	3	0
BenchmarkBody/crowd256/grid1m/body/Blocked	43.6	40.6	44.9	3	0
BenchmarkBody/crowd256/grid1m/body/SweepAll	188.3	185.8	190.4	3	0
BenchmarkBody/crowd256/grid1m/lospair/Sweep	183.3	181.8	183.8	3	0
BenchmarkBody/crowd256/grid1m/lospair/Blocked	54.8	45.8	56.6	3	0
BenchmarkBody/crowd256/grid1m/lospair/SweepAll	184.4	182.7	187.6	3	0
BenchmarkBody/crowd256/grid1m/sight/Sweep	161.0	159.9	167.6	3	0
BenchmarkBody/crowd256/grid1m/sight/Blocked	99.1	90.8	102.3	3	0
BenchmarkBody/crowd256/grid1m/sight/SweepAll	987.4	985.8	1008.0	3	0
BenchmarkBody/crowd256/grid2m/proj/Sweep	113.1	111.4	116.0	3	0
BenchmarkBody/crowd256/grid2m/proj/Blocked	58.7	56.7	60.1	3	0
BenchmarkBody/crowd256/grid2m/proj/SweepAll	110.4	107.5	110.4	3	0
BenchmarkBody/crowd256/grid2m/body/Sweep	195.0	193.1	196.5	3	0
BenchmarkBody/crowd256/grid2m/body/Blocked	51.6	51.3	52.3	3	0
BenchmarkBody/crowd256/grid2m/body/SweepAll	193.7	192.4	197.5	3	0
BenchmarkBody/crowd256/grid2m/lospair/Sweep	184.3	183.6	188.2	3	0
BenchmarkBody/crowd256/grid2m/lospair/Blocked	62.2	61.8	63.2	3	0
BenchmarkBody/crowd256/grid2m/lospair/SweepAll	185.4	184.0	190.5	3	0
BenchmarkBody/crowd256/grid2m/sight/Sweep	242.2	240.1	247.2	3	0
BenchmarkBody/crowd256/grid2m/sight/Blocked	93.3	91.7	95.9	3	0
BenchmarkBody/crowd256/grid2m/sight/SweepAll	797.9	794.4	817.9	3	0
BenchmarkBody/crowd256/grid4m/proj/Sweep	176.2	175.9	182.5	3	0
BenchmarkBody/crowd256/grid4m/proj/Blocked	97.0	96.7	100.6	3	0
BenchmarkBody/crowd256/grid4m/proj/SweepAll	170.7	170.6	178.9	3	0
BenchmarkBody/crowd256/grid4m/body/Sweep	257.9	255.1	263.1	3	0
BenchmarkBody/crowd256/grid4m/body/Blocked	75.8	75.2	78.2	3	0
BenchmarkBody/crowd256/grid4m/body/SweepAll	252.3	249.7	258.5	3	0
BenchmarkBody/crowd256/grid4m/lospair/Sweep	242.4	241.8	248.1	3	0
BenchmarkBody/crowd256/grid4m/lospair/Blocked	89.0	87.5	90.6	3	0
BenchmarkBody/crowd256/grid4m/lospair/SweepAll	239.1	238.3	244.0	3	0
BenchmarkBody/crowd256/grid4m/sight/Sweep	479.8	478.6	492.9	3	0
BenchmarkBody/crowd256/grid4m/sight/Blocked	108.9	108.6	114.3	3	0
BenchmarkBody/crowd256/grid4m/sight/SweepAll	722.6	721.8	742.3	3	0
BenchmarkBody/arena1024/grid1m/proj/Sweep	37.5	36.8	42.0	3	0
BenchmarkBody/arena1024/grid1m/proj/Blocked	33.1	30.4	35.4	3	0
BenchmarkBody/arena1024/grid1m/proj/SweepAll	35.9	32.8	39.0	3	0
BenchmarkBody/arena1024/grid1m/body/Sweep	60.5	57.5	68.1	3	0
BenchmarkBody/arena1024/grid1m/body/Blocked	41.8	39.0	42.1	3	0
BenchmarkBody/arena1024/grid1m/body/SweepAll	67.0	65.5	68.1	3	0
BenchmarkBody/arena1024/grid1m/lospair/Sweep	74.2	69.8	75.3	3	0
BenchmarkBody/arena1024/grid1m/lospair/Blocked	45.0	42.7	49.8	3	0
BenchmarkBody/arena1024/grid1m/lospair/SweepAll	74.1	71.3	75.8	3	0
BenchmarkBody/arena1024/grid1m/sight/Sweep	200.3	198.6	215.7	3	0
BenchmarkBody/arena1024/grid1m/sight/Blocked	165.3	165.0	170.1	3	0
BenchmarkBody/arena1024/grid1m/sight/SweepAll	527.2	522.2	544.0	3	0
BenchmarkBody/arena1024/grid2m/proj/Sweep	44.7	36.8	47.9	3	0
BenchmarkBody/arena1024/grid2m/proj/Blocked	36.5	32.0	39.0	3	0
BenchmarkBody/arena1024/grid2m/proj/SweepAll	42.2	34.9	43.6	3	0
BenchmarkBody/arena1024/grid2m/body/Sweep	75.2	73.5	79.4	3	0
BenchmarkBody/arena1024/grid2m/body/Blocked	44.3	42.3	48.4	3	0
BenchmarkBody/arena1024/grid2m/body/SweepAll	74.2	73.2	76.1	3	0
BenchmarkBody/arena1024/grid2m/lospair/Sweep	76.1	76.0	79.5	3	0
BenchmarkBody/arena1024/grid2m/lospair/Blocked	46.2	42.4	51.3	3	0
BenchmarkBody/arena1024/grid2m/lospair/SweepAll	74.6	73.7	78.3	3	0
BenchmarkBody/arena1024/grid2m/sight/Sweep	196.0	195.3	198.5	3	0
BenchmarkBody/arena1024/grid2m/sight/Blocked	137.1	136.4	141.5	3	0
BenchmarkBody/arena1024/grid2m/sight/SweepAll	412.6	410.8	420.7	3	0
BenchmarkBody/arena1024/grid4m/proj/Sweep	67.2	59.4	70.1	3	0
BenchmarkBody/arena1024/grid4m/proj/Blocked	52.0	47.8	57.4	3	0
BenchmarkBody/arena1024/grid4m/proj/SweepAll	63.1	55.0	66.0	3	0
BenchmarkBody/arena1024/grid4m/body/Sweep	105.0	104.5	106.2	3	0
BenchmarkBody/arena1024/grid4m/body/Blocked	67.0	61.9	70.0	3	0
BenchmarkBody/arena1024/grid4m/body/SweepAll	100.1	99.8	102.6	3	0
BenchmarkBody/arena1024/grid4m/lospair/Sweep	98.7	98.4	100.2	3	0
BenchmarkBody/arena1024/grid4m/lospair/Blocked	68.2	67.6	70.5	3	0
BenchmarkBody/arena1024/grid4m/lospair/SweepAll	96.2	95.0	99.3	3	0
BenchmarkBody/arena1024/grid4m/sight/Sweep	270.3	269.4	276.2	3	0
BenchmarkBody/arena1024/grid4m/sight/Blocked	134.2	133.7	136.1	3	0
BenchmarkBody/arena1024/grid4m/sight/SweepAll	367.1	366.9	371.7	3	0
BenchmarkBody/map4096/grid1m/proj/Sweep	34.0	30.6	34.2	3	0
BenchmarkBody/map4096/grid1m/proj/Blocked	30.2	27.9	30.9	3	0
BenchmarkBody/map4096/grid1m/proj/SweepAll	31.3	28.0	31.8	3	0
BenchmarkBody/map4096/grid1m/body/Sweep	44.4	41.8	46.8	3	0
BenchmarkBody/map4096/grid1m/body/Blocked	39.9	39.5	43.1	3	0
BenchmarkBody/map4096/grid1m/body/SweepAll	42.6	42.2	45.7	3	0
BenchmarkBody/map4096/grid1m/lospair/Sweep	46.5	45.8	48.7	3	0
BenchmarkBody/map4096/grid1m/lospair/Blocked	41.3	40.1	43.3	3	0
BenchmarkBody/map4096/grid1m/lospair/SweepAll	43.4	43.2	45.8	3	0
BenchmarkBody/map4096/grid1m/sight/Sweep	312.2	263.9	349.5	3	0
