goos: windows
goarch: amd64
pkg: github.com/dvoyni/cog/bundles/ecsphysics2d/proto/queryindex
cpu: AMD Ryzen 9 7950X3D 16-Core Processor          
BenchmarkStatic/scatter/grid1m/proj/Sweep-32         	 7443337	        31.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/proj/Blocked-32       	 7850756	        27.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/proj/SweepAll-32      	 8523211	        29.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/Sweep-32         	 4962819	        46.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/Blocked-32       	 5322639	        44.51 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/SweepAll-32      	 5199373	        44.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/Sweep-32      	 5205135	        44.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/Blocked-32    	 5624414	        41.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/SweepAll-32   	 6025683	        42.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/Sweep-32        	  789655	       287.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/Blocked-32      	  922012	       255.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/SweepAll-32     	  757455	       306.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/Sweep-32       	  342836	       698.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/Blocked-32     	  361918	       640.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/SweepAll-32    	   71935	      3360 ns/op	       0 B/op	       0 allocs/op
