goos: windows
goarch: amd64
pkg: cogproto/baseline
cpu: AMD Ryzen 9 7950X3D 16-Core Processor          
BenchmarkGox2d/rooms16cells/sight/SweepAll-32        	  416832	       587.9 ns/op	      24 B/op	       1 allocs/op
BenchmarkGox2d/rooms16cells/losmap/Sweep-32          	  444518	       536.5 ns/op	      24 B/op	       1 allocs/op
BenchmarkGox2d/rooms16cells/losmap/SweepAll-32       	   61429	      3915 ns/op	      24 B/op	       1 allocs/op
BenchmarkGox2d/halls64/proj/Sweep-32                 	  946260	       213.1 ns/op	      24 B/op	       1 allocs/op
BenchmarkGox2d/halls64/proj/SweepAll-32              	 1000000	       211.4 ns/op	      24 B/op	       1 allocs/op
BenchmarkGox2d/halls64/lospair/Sweep-32              	 1000000	       212.2 ns/op	      24 B/op	       1 allocs/op
BenchmarkGox2d/halls64/lospair/SweepAll-32           	 1000000	       214.2 ns/op	      24 B/op	       1 allocs/op
BenchmarkGox2d/halls64/sight/Sweep-32                	  878541	       261.1 ns/op	      24 B/op	       1 allocs/op
BenchmarkGox2d/halls64/sight/SweepAll-32             	  914773	       251.3 ns/op	      24 B/op	       1 allocs/op
BenchmarkGox2d/halls64/losmap/Sweep-32               	  684188	       337.2 ns/op	      24 B/op	       1 allocs/op
BenchmarkGox2d/halls64/losmap/SweepAll-32            	  310197	       796.4 ns/op	      24 B/op	       1 allocs/op
BenchmarkGox2d/arena1024/proj/Sweep-32               	  882579	       264.3 ns/op	      24 B/op	       1 allocs/op
BenchmarkGox2d/arena1024/body/Sweep-32               	  708820	       337.6 ns/op	      96 B/op	       1 allocs/op
PASS
