goos: windows
goarch: amd64
pkg: github.com/dvoyni/cog/bundles/ecsphysics2d/proto/queryindex
cpu: AMD Ryzen 9 7950X3D 16-Core Processor          
BenchmarkStatic/scatter/hash1m/proj/Sweep-32         	 7392030	        32.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/proj/Blocked-32       	 7718456	        30.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/proj/SweepAll-32      	 7883922	        30.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/body/Sweep-32         	 4460784	        53.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/body/Blocked-32       	 5004744	        46.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/body/SweepAll-32      	 4396755	        51.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/lospair/Sweep-32      	 4025960	        53.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/lospair/Blocked-32    	 4732056	        46.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/lospair/SweepAll-32   	 4337217	        52.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/sight/Sweep-32        	  630583	       371.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/sight/Blocked-32      	  641607	       351.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/sight/SweepAll-32     	  574189	       419.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/losmap/Sweep-32       	  249828	       963.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/losmap/Blocked-32     	  270486	       903.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash1m/losmap/SweepAll-32    	   51424	      4702 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/proj/Sweep-32         	 7759807	        31.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/proj/Blocked-32       	 8257779	        29.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/proj/SweepAll-32      	 7499648	        30.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/body/Sweep-32         	 5565190	        42.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/body/Blocked-32       	 6342595	        38.82 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/body/SweepAll-32      	 5264311	        42.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/lospair/Sweep-32      	 5963398	        39.56 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/hash2m/lospair/Blocked-32    	 6380551	        37.53 ns/op	       0 B/op	       0 allocs/op
