goos: windows
goarch: amd64
pkg: github.com/dvoyni/cog/bundles/ecsphysics2d/proto/queryindex
cpu: AMD Ryzen 9 7950X3D 16-Core Processor          
BenchmarkStatic/scatter/linear/proj/Sweep-32         	    3212	     76737 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/linear/proj/Blocked-32       	    3252	     76583 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/linear/proj/SweepAll-32      	    3384	     73186 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/linear/losmap/Sweep-32       	    2359	    101049 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/linear/losmap/Blocked-32     	    2414	    101095 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/linear/losmap/SweepAll-32    	    2516	     96757 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/proj/Sweep-32         	 7657113	        30.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/proj/Blocked-32       	 7788616	        30.23 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/proj/SweepAll-32      	 8273151	        27.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/Sweep-32         	 5676966	        44.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/Blocked-32       	 5501659	        43.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/body/SweepAll-32      	 5365190	        44.13 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/Sweep-32      	 5393743	        44.29 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/Blocked-32    	 5657001	        41.47 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/lospair/SweepAll-32   	 5597901	        41.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/Sweep-32        	  837052	       279.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/Blocked-32      	  947418	       251.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/sight/SweepAll-32     	  781962	       299.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/Sweep-32       	  358556	       683.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/Blocked-32     	  402568	       597.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid1m/losmap/SweepAll-32    	   78471	      3038 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/proj/Sweep-32         	 7972838	        30.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/proj/Blocked-32       	 9087741	        26.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/proj/SweepAll-32      	 8952350	        28.06 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/body/Sweep-32         	 6096692	        41.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/body/Blocked-32       	 6232114	        36.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/body/SweepAll-32      	 6594674	        35.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/lospair/Sweep-32      	 6983341	        34.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/lospair/Blocked-32    	 7317562	        33.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/lospair/SweepAll-32   	 6800889	        35.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/sight/Sweep-32        	 1251283	       191.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/sight/Blocked-32      	 1397769	       171.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/sight/SweepAll-32     	 1000000	       207.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/losmap/Sweep-32       	  512458	       470.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/losmap/Blocked-32     	  577324	       417.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid2m/losmap/SweepAll-32    	  118167	      2044 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/proj/Sweep-32         	 6700072	        36.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/proj/Blocked-32       	 7012110	        33.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/proj/SweepAll-32      	 7312926	        32.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/body/Sweep-32         	 4497885	        52.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/body/Blocked-32       	 6150786	        41.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/body/SweepAll-32      	 5801305	        44.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/lospair/Sweep-32      	 5486917	        43.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/lospair/Blocked-32    	 6131050	        38.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/lospair/SweepAll-32   	 6123854	        39.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/sight/Sweep-32        	 1393792	       171.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/sight/Blocked-32      	 1635520	       145.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/sight/SweepAll-32     	 1339394	       179.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/losmap/Sweep-32       	  575318	       410.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/losmap/Blocked-32     	  669399	       359.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid4m/losmap/SweepAll-32    	  133270	      1810 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/proj/Sweep-32         	 3859407	        61.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/proj/Blocked-32       	 4499580	        54.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/proj/SweepAll-32      	 4698465	        53.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/body/Sweep-32         	 2225720	       106.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/body/Blocked-32       	 2500126	        96.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/body/SweepAll-32      	 2260978	       104.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/lospair/Sweep-32      	 3543810	        61.94 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/lospair/Blocked-32    	 3759939	        64.64 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/lospair/SweepAll-32   	 3530620	        61.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/sight/Sweep-32        	  938893	       248.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/sight/Blocked-32      	 1220282	       196.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/sight/SweepAll-32     	  974460	       237.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/losmap/Sweep-32       	  513082	       464.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/losmap/Blocked-32     	  608658	       392.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/grid8m/losmap/SweepAll-32    	  121512	      1984 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/proj/Sweep-32           	 1256689	       190.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/proj/Blocked-32         	 1000000	       210.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/proj/SweepAll-32        	 1000000	       211.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/body/Sweep-32           	 1000000	       223.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/body/Blocked-32         	  995271	       236.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/body/SweepAll-32        	  945550	       246.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/lospair/Sweep-32        	 1000000	       212.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/lospair/Blocked-32      	 1000000	       228.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/lospair/SweepAll-32     	  902254	       232.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/sight/Sweep-32          	  665150	       355.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStatic/scatter/bvh2/sight/Blocked-32        	  710079	       332.6 ns/op	       0 B/op	       0 allocs/op
